epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6461,1.13865,2.18146,1.22865,0.12189,0.24074,0.10615,0.04377,1.28077,3.8453,1.66822,0.000324786,0.000324786,0.0678462
2,7.2903,0.98618,0.99199,1.13174,0.98154,0.32407,0.49547,0.33239,0.92425,2.89236,1.15383,0.000654862,0.000654862,0.0348429
3,9.87041,0.92499,0.78845,1.09457,0.43151,0.9537,0.92574,0.71002,0.80384,1.93124,1.06861,0.000981638,0.000981638,0.00183634
4,12.3463,0.90502,0.7315,1.07376,0.9499,0.95928,0.99449,0.77352,0.79737,0.78725,1.06894,0.00098515,0.00098515,0.00098515
5,14.8753,0.91201,0.71223,1.08303,0.97909,0.98964,0.99401,0.77753,0.77466,0.58355,1.05135,0.0009802,0.0009802,0.0009802
6,17.5127,0.86518,0.66513,1.05757,0.98766,0.99739,0.99482,0.78339,0.78123,0.50977,1.0574,0.00097525,0.00097525,0.00097525
7,20.1671,0.86687,0.62975,1.0571,0.98793,0.9909,0.995,0.77304,0.88015,0.5348,1.12176,0.0009703,0.0009703,0.0009703
8,22.7161,0.86208,0.61077,1.06038,0.99626,1,0.995,0.79772,0.80235,0.5026,1.07911,0.00096535,0.00096535,0.00096535
9,25.2952,0.8485,0.59949,1.04288,0.96796,0.99074,0.99095,0.78792,0.7713,0.52637,1.03353,0.0009604,0.0009604,0.0009604
10,27.8532,0.82871,0.56495,1.03078,0.99632,0.99919,0.995,0.79283,0.7841,0.49228,1.04146,0.00095545,0.00095545,0.00095545
11,30.388,0.8593,0.61227,1.04114,0.97788,0.99608,0.98794,0.79989,0.73987,0.48573,1.01202,0.0009505,0.0009505,0.0009505
12,32.9296,0.8198,0.54905,1.03523,0.98663,1,0.995,0.80019,0.73077,0.44432,1.0109,0.00094555,0.00094555,0.00094555
13,35.4738,0.82896,0.55042,1.03846,0.99368,1,0.995,0.78959,0.75986,0.44626,1.01221,0.0009406,0.0009406,0.0009406
14,38.0526,0.81201,0.51819,1.02292,0.99713,0.97655,0.99116,0.77728,0.82176,0.67147,1.07683,0.00093565,0.00093565,0.00093565
15,40.5496,0.85097,0.55519,1.05444,0.98858,1,0.995,0.75938,0.8056,0.45834,1.06957,0.0009307,0.0009307,0.0009307
16,43.0827,0.8391,0.52784,1.04635,0.99632,0.99998,0.995,0.77585,0.76619,0.42145,1.02396,0.00092575,0.00092575,0.00092575
17,45.6527,0.8141,0.52329,1.02426,0.99551,1,0.995,0.78923,0.7758,0.42618,1.03203,0.0009208,0.0009208,0.0009208
18,48.1957,0.80865,0.49581,1.0168,0.99619,1,0.995,0.80721,0.75436,0.40965,1.02305,0.00091585,0.00091585,0.00091585
19,50.7662,0.79259,0.49058,1.00948,0.99665,0.99611,0.995,0.79083,0.74586,0.39894,1.01746,0.0009109,0.0009109,0.0009109
20,53.2879,0.81409,0.51987,1.03174,0.99636,1,0.995,0.78706,0.74839,0.41693,1.01752,0.00090595,0.00090595,0.00090595
21,55.8617,0.79568,0.50544,1.02552,0.99649,1,0.995,0.79618,0.73646,0.41678,1.01506,0.000901,0.000901,0.000901
22,58.5679,0.78801,0.50745,1.02438,0.99598,1,0.995,0.79534,0.71287,0.39118,1.00221,0.00089605,0.00089605,0.00089605
23,62.7461,0.78056,0.48207,1.0224,0.99779,1,0.995,0.79913,0.7525,0.38574,1.03632,0.0008911,0.0008911,0.0008911
24,66.8133,0.80849,0.50615,1.01964,0.99464,1,0.995,0.80275,0.74458,0.40037,1.02411,0.00088615,0.00088615,0.00088615
25,70.6598,0.78369,0.47005,1.00572,0.99601,1,0.995,0.7904,0.71964,0.38474,1.01339,0.0008812,0.0008812,0.0008812
26,74.8484,0.77955,0.47076,1.01316,0.99704,1,0.995,0.81366,0.71644,0.39149,0.99729,0.00087625,0.00087625,0.00087625
27,78.8468,0.80165,0.48756,1.01145,0.99415,0.99939,0.995,0.80231,0.7341,0.37969,1.00802,0.0008713,0.0008713,0.0008713
28,82.3113,0.79352,0.46458,1.00291,0.99713,1,0.995,0.78988,0.77401,0.39299,1.04484,0.00086635,0.00086635,0.00086635
29,85.4985,0.806,0.49473,1.01395,0.9941,1,0.995,0.78264,0.79431,0.40241,1.03891,0.0008614,0.0008614,0.0008614
30,89.1262,0.78104,0.44411,1.00266,0.99486,1,0.995,0.80264,0.73093,0.37937,1.0061,0.00085645,0.00085645,0.00085645
31,92.6095,0.77368,0.4491,1.01012,0.99757,1,0.995,0.81135,0.70693,0.3509,0.99633,0.0008515,0.0008515,0.0008515
32,96.3589,0.78714,0.44986,1.01072,0.99511,1,0.995,0.79612,0.735,0.38026,1.02486,0.00084655,0.00084655,0.00084655
33,100.651,0.80483,0.51321,1.02582,0.99666,1,0.995,0.79046,0.73719,0.40301,1.01811,0.0008416,0.0008416,0.0008416
34,104.714,0.76235,0.44361,1.00128,0.99645,1,0.995,0.7991,0.72899,0.37629,1.01315,0.00083665,0.00083665,0.00083665
35,108.058,0.75378,0.42806,0.99902,0.99576,1,0.995,0.79811,0.70597,0.36319,0.9944,0.0008317,0.0008317,0.0008317
36,111.318,0.75061,0.44378,1.00381,0.99527,1,0.995,0.80343,0.69541,0.35408,0.98057,0.00082675,0.00082675,0.00082675
37,114.736,0.77392,0.47016,1.01938,0.99423,1,0.995,0.79112,0.7259,0.35746,0.99699,0.0008218,0.0008218,0.0008218
38,118.321,0.76783,0.44557,1.00013,0.99249,1,0.995,0.81195,0.69725,0.35137,0.98739,0.00081685,0.00081685,0.00081685
39,120.859,0.73894,0.42611,0.97955,0.99655,1,0.995,0.81916,0.6911,0.34985,0.98994,0.0008119,0.0008119,0.0008119
40,123.398,0.74689,0.42756,0.9891,0.99397,0.98527,0.995,0.79005,0.75757,0.37356,1.01471,0.00080695,0.00080695,0.00080695
41,125.934,0.78647,0.48474,1.01274,0.95726,0.97024,0.97196,0.76612,0.80374,0.4569,1.05178,0.000802,0.000802,0.000802
42,128.45,0.74525,0.44092,1.0028,0.99421,1,0.995,0.81078,0.7013,0.35623,0.9953,0.00079705,0.00079705,0.00079705
43,130.997,0.73575,0.4255,0.99127,0.99434,1,0.995,0.81449,0.71649,0.36746,0.98975,0.0007921,0.0007921,0.0007921
44,133.529,0.74791,0.42273,0.99125,0.9966,1,0.995,0.81555,0.70744,0.37015,0.99083,0.00078715,0.00078715,0.00078715
45,136.09,0.74162,0.41667,0.98625,0.99728,1,0.995,0.81597,0.69676,0.31901,0.98596,0.0007822,0.0007822,0.0007822
46,138.758,0.73361,0.40726,0.99933,0.99804,1,0.995,0.81376,0.68779,0.31612,0.98712,0.00077725,0.00077725,0.00077725
47,141.343,0.75636,0.41728,1.0021,0.99571,1,0.995,0.80491,0.68069,0.33842,0.98159,0.0007723,0.0007723,0.0007723
48,143.881,0.72379,0.39205,0.98185,0.99723,1,0.995,0.8174,0.69694,0.33998,0.9888,0.00076735,0.00076735,0.00076735
49,146.359,0.75486,0.43284,0.99564,0.99667,1,0.995,0.81449,0.6993,0.33115,0.99902,0.0007624,0.0007624,0.0007624
50,148.867,0.76767,0.46744,1.01976,0.99792,1,0.995,0.79312,0.70332,0.34162,0.996,0.00075745,0.00075745,0.00075745
51,151.443,0.72124,0.40555,0.99051,0.99588,1,0.995,0.81586,0.66758,0.33076,0.97644,0.0007525,0.0007525,0.0007525
52,153.975,0.71315,0.39246,0.97361,0.99774,1,0.995,0.82594,0.63694,0.32514,0.95967,0.00074755,0.00074755,0.00074755
53,156.53,0.7493,0.42893,0.99956,0.99529,1,0.995,0.81322,0.65423,0.34123,0.96465,0.0007426,0.0007426,0.0007426
54,159.113,0.71255,0.39866,0.97687,0.997,1,0.995,0.81712,0.69692,0.33375,0.98596,0.00073765,0.00073765,0.00073765
55,161.655,0.74572,0.41397,0.99026,0.99719,1,0.995,0.81689,0.6942,0.34258,0.97947,0.0007327,0.0007327,0.0007327
56,164.149,0.73587,0.40273,0.98413,0.99709,1,0.995,0.80915,0.70547,0.35111,0.99879,0.00072775,0.00072775,0.00072775
57,166.641,0.73992,0.41498,0.99512,0.99642,1,0.995,0.81531,0.69033,0.32598,0.98641,0.0007228,0.0007228,0.0007228
58,169.224,0.70733,0.40329,0.97416,0.9969,1,0.995,0.80941,0.69397,0.33735,0.98925,0.00071785,0.00071785,0.00071785
59,171.797,0.71304,0.38742,0.9669,0.99812,1,0.995,0.82202,0.695,0.33522,0.99592,0.0007129,0.0007129,0.0007129
60,174.301,0.73104,0.40113,0.97987,0.99707,1,0.995,0.81108,0.69282,0.32366,0.99002,0.00070795,0.00070795,0.00070795
61,176.821,0.71839,0.39859,0.98303,0.99583,1,0.995,0.81804,0.66873,0.31594,0.98573,0.000703,0.000703,0.000703
62,179.335,0.72367,0.40226,0.98034,0.99736,1,0.995,0.82107,0.68001,0.32689,0.98515,0.00069805,0.00069805,0.00069805
63,181.908,0.71798,0.3878,0.98823,0.99782,1,0.995,0.81498,0.66018,0.31954,0.97175,0.0006931,0.0006931,0.0006931
64,184.435,0.71472,0.39561,0.97384,0.9963,1,0.995,0.81428,0.6808,0.31814,0.97415,0.00068815,0.00068815,0.00068815
65,187.026,0.70712,0.37938,0.97185,0.9969,1,0.995,0.82883,0.65256,0.32411,0.96664,0.0006832,0.0006832,0.0006832
66,189.593,0.70863,0.39016,0.97454,0.99731,1,0.995,0.82264,0.69332,0.3319,0.9819,0.00067825,0.00067825,0.00067825
67,192.109,0.72036,0.39626,0.97177,0.9976,1,0.995,0.81579,0.67561,0.32703,0.97867,0.0006733,0.0006733,0.0006733
68,194.587,0.70604,0.39875,0.97551,0.9973,1,0.995,0.83052,0.69862,0.31077,0.98979,0.00066835,0.00066835,0.00066835
69,197.162,0.70013,0.38383,0.98095,0.99695,1,0.995,0.81862,0.68027,0.30729,0.97826,0.0006634,0.0006634,0.0006634
70,199.7,0.69855,0.39134,0.96634,0.99778,1,0.995,0.80763,0.71192,0.31484,0.99078,0.00065845,0.00065845,0.00065845
71,202.315,0.69751,0.37088,0.97404,0.9971,1,0.995,0.81726,0.74138,0.33775,1.01269,0.0006535,0.0006535,0.0006535
72,204.816,0.72144,0.39346,0.97464,0.99661,1,0.995,0.80289,0.6869,0.31884,0.97475,0.00064855,0.00064855,0.00064855
73,207.343,0.70942,0.37714,0.96812,0.99712,1,0.995,0.82771,0.69094,0.3124,0.98617,0.0006436,0.0006436,0.0006436
74,209.853,0.70834,0.38704,0.97765,0.99765,1,0.995,0.80786,0.70743,0.32418,0.99915,0.00063865,0.00063865,0.00063865
75,212.372,0.72771,0.39058,0.97941,0.99777,1,0.995,0.81409,0.70035,0.32884,0.99124,0.0006337,0.0006337,0.0006337
76,214.972,0.70468,0.36814,0.96619,0.99739,1,0.995,0.80639,0.68556,0.32118,0.98716,0.00062875,0.00062875,0.00062875
77,217.532,0.73292,0.42018,0.98942,0.99639,1,0.995,0.82854,0.68265,0.31989,0.97615,0.0006238,0.0006238,0.0006238
78,220.084,0.72653,0.39736,0.97909,0.9978,1,0.995,0.82201,0.66291,0.31898,0.98448,0.00061885,0.00061885,0.00061885
79,222.632,0.68408,0.36968,0.96623,0.99735,1,0.995,0.82148,0.67452,0.31754,0.9906,0.0006139,0.0006139,0.0006139
80,225.134,0.68477,0.36419,0.96617,0.99718,1,0.995,0.81132,0.69858,0.31806,0.99747,0.00060895,0.00060895,0.00060895
81,227.637,0.70584,0.39041,0.97461,0.99568,0.99967,0.995,0.82666,0.68152,0.31117,0.98999,0.000604,0.000604,0.000604
82,230.209,0.7126,0.39295,0.97679,0.99708,1,0.995,0.82336,0.68631,0.32102,0.98809,0.00059905,0.00059905,0.00059905
83,232.734,0.6938,0.38601,0.97486,0.99633,1,0.995,0.83184,0.67123,0.32418,0.98913,0.0005941,0.0005941,0.0005941
84,235.25,0.70243,0.40261,0.98349,0.99354,1,0.995,0.82267,0.68546,0.33886,0.98383,0.00058915,0.00058915,0.00058915
85,237.744,0.67422,0.37219,0.96624,0.99776,0.99872,0.995,0.8237,0.66373,0.34073,0.98029,0.0005842,0.0005842,0.0005842
